Time(t)	 Analytic	 RK-4 
0.000000	 250.000000	 250.000000
0.010000	 250.250050	 250.250050
0.020000	 250.500200	 250.500200
0.030000	 250.750450	 250.750450
0.040000	 251.000800	 251.000800
0.050000	 251.251250	 251.251250
0.060000	 251.501800	 251.501800
0.070000	 251.752450	 251.752450
0.080000	 252.003200	 252.003200
0.090000	 252.254050	 252.254050
0.100000	 252.505000	 252.505000
0.110000	 252.756050	 252.756050
0.120000	 253.007200	 253.007200
0.130000	 253.258450	 253.258450
0.140000	 253.509800	 253.509800
0.150000	 253.761250	 253.761250
0.160000	 254.012800	 254.012800
0.170000	 254.264450	 254.264450
0.180000	 254.516200	 254.516200
0.190000	 254.768050	 254.768050
0.200000	 255.020000	 255.020000
0.210000	 255.272050	 255.272050
0.220000	 255.524200	 255.524200
0.230000	 255.776450	 255.776450
0.240000	 256.028800	 256.028800
0.250000	 256.281250	 256.281250
0.260000	 256.533800	 256.533800
0.270000	 256.786450	 256.786450
0.280000	 257.039200	 257.039200
0.290000	 257.292050	 257.292050
0.300000	 257.545000	 257.545000
0.310000	 257.798050	 257.798050
0.320000	 258.051200	 258.051200
0.330000	 258.304450	 258.304450
0.340000	 258.557800	 258.557800
0.350000	 258.811250	 258.811250
0.360000	 259.064800	 259.064800
0.370000	 259.318450	 259.318450
0.380000	 259.572200	 259.572200
0.390000	 259.826050	 259.826050
0.400000	 260.080000	 260.080000
0.410000	 260.334050	 260.334050
0.420000	 260.588200	 260.588200
0.430000	 260.842450	 260.842450
0.440000	 261.096800	 261.096800
0.450000	 261.351250	 261.351250
0.460000	 261.605800	 261.605800
0.470000	 261.860450	 261.860450
0.480000	 262.115200	 262.115200
0.490000	 262.370050	 262.370050
0.500000	 262.625000	 262.625000
0.510000	 262.880050	 262.880050
0.520000	 263.135200	 263.135200
0.530000	 263.390450	 263.390450
0.540000	 263.645800	 263.645800
0.550000	 263.901250	 263.901250
0.560000	 264.156800	 264.156800
0.570000	 264.412450	 264.412450
0.580000	 264.668200	 264.668200
0.590000	 264.924050	 264.924050
0.600000	 265.180000	 265.180000
0.610000	 265.436050	 265.436050
0.620000	 265.692200	 265.692200
0.630000	 265.948450	 265.948450
0.640000	 266.204800	 266.204800
0.650000	 266.461250	 266.461250
0.660000	 266.717800	 266.717800
0.670000	 266.974450	 266.974450
0.680000	 267.231200	 267.231200
0.690000	 267.488050	 267.488050
0.700000	 267.745000	 267.745000
0.710000	 268.002050	 268.002050
0.720000	 268.259200	 268.259200
0.730000	 268.516450	 268.516450
0.740000	 268.773800	 268.773800
0.750000	 269.031250	 269.031250
0.760000	 269.288800	 269.288800
0.770000	 269.546450	 269.546450
0.780000	 269.804200	 269.804200
0.790000	 270.062050	 270.062050
0.800000	 270.320000	 270.320000
0.810000	 270.578050	 270.578050
0.820000	 270.836200	 270.836200
0.830000	 271.094450	 271.094450
0.840000	 271.352800	 271.352800
0.850000	 271.611250	 271.611250
0.860000	 271.869800	 271.869800
0.870000	 272.128450	 272.128450
0.880000	 272.387200	 272.387200
0.890000	 272.646050	 272.646050
0.900000	 272.905000	 272.905000
0.910000	 273.164050	 273.164050
0.920000	 273.423200	 273.423200
0.930000	 273.682450	 273.682450
0.940000	 273.941800	 273.941800
0.950000	 274.201250	 274.201250
0.960000	 274.460800	 274.460800
0.970000	 274.720450	 274.720450
0.980000	 274.980200	 274.980200
0.990000	 275.240050	 275.240050
1.000000	 275.500000	 275.500000
1.010000	 275.760050	 275.760050
1.020000	 276.020200	 276.020200
1.030000	 276.280450	 276.280450
1.040000	 276.540800	 276.540800
1.050000	 276.801250	 276.801250
1.060000	 277.061800	 277.061800
1.070000	 277.322450	 277.322450
1.080000	 277.583200	 277.583200
1.090000	 277.844050	 277.844050
1.100000	 278.105000	 278.105000
1.110000	 278.366050	 278.366050
1.120000	 278.627200	 278.627200
1.130000	 278.888450	 278.888450
1.140000	 279.149800	 279.149800
1.150000	 279.411250	 279.411250
1.160000	 279.672800	 279.672800
1.170000	 279.934450	 279.934450
1.180000	 280.196200	 280.196200
1.190000	 280.458050	 280.458050
1.200000	 280.720000	 280.720000
1.210000	 280.982050	 280.982050
1.220000	 281.244200	 281.244200
1.230000	 281.506450	 281.506450
1.240000	 281.768800	 281.768800
1.250000	 282.031250	 282.031250
1.260000	 282.293800	 282.293800
1.270000	 282.556450	 282.556450
1.280000	 282.819200	 282.819200
1.290000	 283.082050	 283.082050
1.300000	 283.345000	 283.345000
1.310000	 283.608050	 283.608050
1.320000	 283.871200	 283.871200
1.330000	 284.134450	 284.134450
1.340000	 284.397800	 284.397800
1.350000	 284.661250	 284.661250
1.360000	 284.924800	 284.924800
1.370000	 285.188450	 285.188450
1.380000	 285.452200	 285.452200
1.390000	 285.716050	 285.716050
1.400000	 285.980000	 285.980000
1.410000	 286.244050	 286.244050
1.420000	 286.508200	 286.508200
1.430000	 286.772450	 286.772450
